x,y,data
0,99,0.030682
0,100,0.030794000000000002
0,101,0.030906000000000003
0,102,0.031018000000000004
0,103,0.03113
0,104,0.031195718750000004
0,105,0.03121515625
0,106,0.03123459375
0,107,0.03125403125
0,108,0.03127346875
0,109,0.03129290625
0,110,0.03131234375
0,111,0.03133178125
0,112,0.031353875
0,113,0.031378625
0,114,0.031403375
0,115,0.031428125
0,116,0.031452875
0,117,0.031477625
0,118,0.031502375
0,119,0.031527125
0,120,0.031522
0,121,0.031487
0,122,0.031452
0,123,0.031417
0,124,0.031382
0,125,0.031347
0,126,0.031312
0,127,0.031277
0,128,0.03127875
0,129,0.03131725
0,130,0.03135575
0,131,0.03139425
0,132,0.031432749999999995
0,133,0.03147125
0,134,0.03150975
0,135,0.03154825
0,136,0.0315736875
0,137,0.0315860625
0,138,0.0315984375
0,139,0.0316108125
0,140,0.0316231875
0,141,0.0316355625
0,142,0.0316479375
0,143,0.0316603125
0,144,0.03166575
0,145,0.03166425
0,146,0.03166275
0,147,0.03166125
0,148,0.03165975
0,149,0.03165825
0,150,0.03165675
0,151,0.031655249999999996
0,152,0.031641625
0,153,0.031615875
0,154,0.031590125
0,155,0.031564375
0,156,0.031538625
0,157,0.031512875
0,158,0.031487125
0,159,0.031461375
0,160,0.03138671875
0,161,0.03126315625000001
0,162,0.03113959375
0,163,0.03101603125
0,164,0.030892468750000002
0,165,0.03076890625
0,166,0.03064534375
0,167,0.03052178125
0,168,0.030441468750000002
0,169,0.030404406250000002
0,170,0.03036734375
0,171,0.03033028125
0,172,0.03029321875
0,173,0.03025615625
0,174,0.03021909375
0,175,0.030182031249999998
0,176,0.030150156249999997
0,177,0.03012346875
0,178,0.03009678125
0,179,0.03007009375
0,180,0.03004340625
0,181,0.03001671875
0,182,0.02999003125
0,183,0.02996334375
0,184,0.029921093750000002
0,185,0.02986328125
0,186,0.02980546875
0,187,0.02974765625
0,188,0.029689843750000004
0,189,0.02963203125
0,190,0.029574218750000002
0,191,0.029516406250000002
1,0,0.025167000000000002
1,1,0.025385
1,2,0.025603
1,3,0.025821
1,4,0.026039
1,5,0.026257
1,6,0.026475
1,7,0.026693
1,8,0.02685665625
1,9,0.02696596875
1,10,0.02707528125
1,11,0.02718459375
1,12,0.02729390625
1,13,0.02740321875
1,14,0.02751253125
1,15,0.02762184375
1,16,0.02775575
1,17,0.02791425
1,18,0.02807275
1,19,0.02823125
1,20,0.02838975
1,21,0.02854825
1,22,0.02870675
1,23,0.028865250000000002
1,24,0.029019906249999998
1,25,0.029170718749999998
1,26,0.029321531249999998
1,27,0.029472343749999998
1,28,0.02962315625
1,29,0.02977396875
1,30,0.02992478125
1,31,0.03007559375
1,32,0.03019565625
1,33,0.030284968750000002
1,34,0.03037428125
1,35,0.03046359375
1,36,0.030552906249999998
1,37,0.03064221875
1,38,0.03073153125
1,39,0.03082084375
1,40,0.0307035625
1,41,0.0303796875
1,42,0.0300558125
1,43,0.0297319375
1,44,0.0294080625
1,45,0.0290841875
1,46,0.028760312500000003
1,47,0.028436437499999998
1,48,0.02828803125
1,49,0.028315093750000003
1,50,0.02834215625
1,51,0.02836921875
