x,y,data
2,145,101.3125
2,146,101.0625
2,147,101.4375
2,148,99.6875
2,149,99.6875
2,150,99.75
2,151,101.125
2,152,102.375
2,153,102.3125
2,154,98.8125
2,155,98.8125
2,156,100.625
2,157,102.0
2,158,102.0
2,159,102.0
2,160,102.8125
2,161,101.83333333333333
2,162,101.83333333333333
2,163,101.5
2,164,99.1875
2,165,99.875
2,166,100.75
2,167,101.4375
2,168,101.4375
2,169,101.8125
2,170,102.0625
2,171,103.1875
2,172,102.75
2,173,103.25
2,174,100.5
2,175,99.9375
2,176,99.8125
2,177,102.6875
2,178,102.6875
2,179,102.6875
2,180,102.1875
2,181,102.1875
2,182,100.9375
2,183,102.125
2,184,100.9375
2,185,99.5625
2,186,99.5625
2,187,100.3125
2,188,101.375
2,189,100.9375
2,190,101.0625
2,191,101.58333333333333
3,0,101.125
3,1,101.125
3,2,99.9375
3,3,100.5
3,4,99.4375
3,5,99.5625
3,6,99.5625
3,7,101.1875
3,8,102.125
3,9,102.4375
3,10,102.125
3,11,102.0
3,12,102.0
3,13,102.0
3,14,101.1875
3,15,101.0625
3,16,101.0625
3,17,100.875
3,18,100.5
3,19,100.4375
3,20,100.4375
3,21,101.25
3,22,101.4375
3,23,101.25
3,24,102.125
3,25,100.5625
3,26,102.125
3,27,100.375
3,28,100.83333333333333
3,29,101.08333333333333
3,30,101.08333333333333
3,31,102.9375
3,32,101.1875
3,33,101.1875
3,34,100.875
3,35,100.625
3,36,100.625
3,37,98.9375
3,38,97.375
3,39,97.375
3,40,98.8125
3,41,98.8125
3,42,99.625
3,43,98.1875
3,44,97.75
3,45,100.83333333333333
3,46,101.9375
3,47,102.0625
3,48,101.6875
3,49,102.0625
3,50,101.5625
3,51,101.1875
3,52,101.1875
3,53,101.1875
3,54,101.625
3,55,101.1875
3,56,101.0
3,57,100.3125
3,58,103.0
3,59,103.0625
3,60,103.0
3,61,103.0
3,62,102.625
3,63,102.9375
3,64,101.625
3,65,101.625
3,66,101.1875
3,67,101.3125
3,68,100.75
3,69,101.375
3,70,100.625
3,71,100.625
3,72,100.4375
3,73,100.625
3,74,103.125
3,75,104.5
3,76,102.5625
3,77,102.1875
3,78,99.4375
3,79,98.6875
3,80,97.5
3,81,99.6875
3,82,101.375
3,83,101.5625
3,84,101.8125
3,85,100.0625
3,86,99.9375
3,87,100.0625
3,88,101.58333333333333
3,89,102.0
3,90,102.625
3,91,102.625
3,92,102.625
3,93,101.5
3,94,102.125
3,95,100.625
3,96,99.5
3,97,99.5
3,98,100.4375
3,99,102.9375
3,100,102.625
3,101,101.9375
3,102,101.875
3,103,101.8125
3,104,100.9375
3,105,101.3125
3,106,101.125
3,107,101.3125
3,108,100.8125
3,109,102.75
3,110,102.75
3,111,104.0625
3,112,103.875
3,113,104.8125
3,114,105.0
3,115,108.3125
3,116,105.4375
3,117,103.16666666666667
3,118,103.3125
3,119,103.16666666666667
3,120,101.6875
3,121,103.375
3,122,103.375
3,123,102.8125
3,124,102.75
3,125,103.3125
3,126,103.3125
3,127,100.25
3,128,99.1875
3,129,99.8125
3,130,100.0625
3,131,101.25
3,132,101.25
3,133,101.25
3,134,101.5625
3,135,101.5625
3,136,101.5625
3,137,101.5
3,138,101.4375
3,139,101.375
3,140,101.375
3,141,100.875
3,142,101.8125
3,143,101.125
3,144,101.3125
3,145,101.75
3,146,102.8125
3,147,102.4375
3,148,101.4375
3,149,101.1875
3,150,101.125
3,151,102.1875
3,152,102.1875
3,153,100.4375
3,154,100.4375
3,155,100.125
3,156,100.125
3,157,100.75
3,158,102.0
3,159,102.5625
3,160,102.8125
3,161,103.0
3,162,101.83333333333333
3,163,101.83333333333333
3,164,100.9375
3,165,100.875
3,166,100.75
3,167,100.0
3,168,101.3125
3,169,101.5625
3,170,101.5625
3,171,101.4375
3,172,100.5
3,173,101.4375
3,174,99.9375
3,175,102.0
3,176,100.66666666666667
3,177,103.5
3,178,102.6875
3,179,102.1875
3,180,98.5625
3,181,99.4375
3,182,99.75
3,183,102.5625
3,184,100.9375
3,185,101.0
3,186,99.5625
3,187,99.9375
3,188,100.5625
3,189,101.0625
3,190,101.375
3,191,101.58333333333333
4,0,99.4375
4,1,99.9375
4,2,99.9375
4,3,99.625
4,4,99.4375
4,5,99.5625
4,6,99.5625
4,7,101.1875
4,8,102.375
4,9,102.4375
4,10,102.125
4,11,101.1875
4,12,101.1875
4,13,101.75
4,14,101.75
4,15,101.75
4,16,103.8125
4,17,100.875
4,18,100.4375
4,19,99.5625
4,20,100.4375
4,21,101.25
4,22,101.4375
4,23,101.25
4,24,102.0
4,25,102.0
4,26,102.8125
4,27,102.625
4,28,102.1875
4,29,101.25
4,30,100.83333333333333
4,31,101.4375
4,32,101.1875
4,33,102.0
4,34,100.875
4,35,100.875
4,36,100.8125
4,37,98.9375
4,38,98.75
4,39,98.9375
4,40,99.625
4,41,99.625
4,42,98.8125
4,43,98.625
4,44,98.625
4,45,100.83333333333333
4,46,102.125
4,47,102.125
4,48,101.5625
4,49,101.0625
4,50,101.1875
4,51,98.875
4,52,100.5
4,53,100.0
4,54,101.5625
4,55,101.1875
4,56,100.1875
